"GRID_ID","X_COORDINATE_CENTER","Y_COORDINATE_CENTER","INJURED_LEVEL1","INJURED_LEVEL2","INJURED_LEVEL3","INJURED_LEVEL4"
"10832210","29.015","41.165","0","0","0","0"
"10542255","29.24","41.02","0","0","0","0"
"10762338","29.655","41.13","0","0","0","0"
"11042067","28.3","41.27","0","0","0","0"
"11142047","28.2","41.32","0","0","0","0"
"10812030","28.115","41.155","0","0","0","0"
"10972115","28.54","41.235","0","0","0","0"
"10672274","29.335","41.085","0","0","0","0"
"11362083","28.38","41.43","0","0","0","0"
"11042190","28.915","41.27","0","0","0","0"
"10542165","28.79","41.02","68.4008923816","37.9931017119","8.59411802879","14.2956620098"
"10852092","28.425","41.175","0","0","0","0"
"10592145","28.69","41.045","31.2202865471","15.185239368","2.83650573551","5.25511312091"
"10782271","29.32","41.14","0","0","0","0"
"11342078","28.355","41.42","0","0","0","0"
"10642366","29.795","41.07","0","0","0","0"
"10902094","28.435","41.2","0","0","0","0"
"10852041","28.17","41.175","0","0","0","0"
"10892217","29.05","41.195","0","0","0","0"
"10792148","28.705","41.145","0","0","0","0"
"11142068","28.305","41.32","0","0","0","0"
"10962161","28.77","41.23","0","0","0","0"
"10792097","28.45","41.145","0","0","0","0"
"10672002","27.975","41.085","0","0","0","0"
"11042118","28.555","41.27","0","0","0","0"
"11002214","29.035","41.25","0","0","0","0"
"11182044","28.185","41.34","0","0","0","0"
"10942007","28","41.22","0","0","0","0"
"10802153","28.73","41.15","0","0","0","0"
"10522305","29.49","41.01","0","0","0","0"
"10752342","29.675","41.125","0","0","0","0"
"10432255","29.24","40.965","23.5479100737","10.271062458","2.12895347856","3.31262877644"
"10702012","28.025","41.1","0","0","0","0"
"11022126","28.595","41.26","0","0","0","0"
"11282041","28.17","41.39","0","0","0","0"
"10872084","28.385","41.185","0","0","0","0"
"10542237","29.15","41.02","9.58960485101","3.93161272142","0","0.465255962844"
"11192049","28.21","41.345","0","0","0","0"
"11002193","28.93","41.25","0","0","0","0"
"10692084","28.385","41.095","0","0","0","0"
"10862169","28.81","41.18","0","0","0","0"
"10572137","28.65","41.035","66.0100372594","31.2999132954","5.91933657165","10.8012632762"
"11512052","28.225","41.505","0","0","0","0"
"10482116","28.545","40.99","0","0","0","0"
"11252065","28.29","41.375","0","0","0","0"
"10902073","28.33","41.2","0","0","0","0"
"10592257","29.25","41.045","0","0","0","0"
"10972082","28.375","41.235","0","0","0","0"
"10712086","28.395","41.105","0","0","0","0"
"10622156","28.745","41.06","0.607925508872","0","0","0"
"10682046","28.195","41.09","0","0","0","0"
"10872102","28.475","41.185","0","0","0","0"
"10952191","28.92","41.225","0","0","0","0"
"10912066","28.295","41.205","0","0","0","0"
"10192268","29.305","40.845","6.2943740168","2.90066293657","0","0.445548967139"
"11092117","28.55","41.295","0","0","0","0"
"10752360","29.765","41.125","0","0","0","0"
"10642206","28.995","41.07","15.5497809285","7.44420034378","0.844322214539","2.6631880416"
"10312256","29.245","40.905","6.89898923763","2.97662877949","0","0.552339912669"
"10972205","28.99","41.235","0","0","0","0"
"10922041","28.17","41.21","0","0","0","0"
"10692004","27.985","41.095","0","0","0","0"
"10802141","28.67","41.15","0","0","0","0"
"10762356","29.745","41.13","0","0","0","0"
"10512284","29.385","41.005","0","0","0","0"
"10642265","29.29","41.07","0","0","0","0"
"10632140","28.665","41.065","2.20273660547","0.70685349151","0","0"
"10772093","28.43","41.135","0","0","0","0"
"10942225","29.09","41.22","0","0","0","0"
"11462030","28.115","41.48","0","0","0","0"
"11602045","28.19","41.55","0","0","0","0"
"10502220","29.065","41","20.7477854079","9.35873077903","1.98567940579","3.22248268672"
"10922173","28.83","41.21","0","0","0","0"
"10902082","28.375","41.2","0","0","0","0"
"10942076","28.345","41.22","0","0","0","0"
"10122269","29.31","40.81","0","0","0","0"
"10912117","28.55","41.205","0","0","0","0"
"10602255","29.24","41.05","2.97511478774","0.462658020481","0","0"
"10892265","29.29","41.195","0","0","0","0"
"11082172","28.825","41.29","0","0","0","0"
"10922164","28.785","41.21","0","0","0","0"
"11312090","28.415","41.405","0","0","0","0"
"10612306","29.495","41.055","0","0","0","0"
"10672071","28.32","41.085","0","0","0","0"
"10382295","29.44","40.94","0","0","0","0"
"10562274","29.335","41.03","0","0","0","0"
"10732108","28.505","41.115","0","0","0","0"
"10672143","28.68","41.085","0","0","0","0"
"10662213","29.03","41.08","1.3853217981","0","0","0"
"10852185","28.89","41.175","5.31863369645","2.15380409562","0","0.529931270897"
"10922143","28.68","41.21","0","0","0","0"
"10912266","29.295","41.205","0","0","0","0"
"10872255","29.24","41.185","0","0","0","0"
"10202277","29.35","40.85","0","0","0","0"
"10992015","28.04","41.245","0","0","0","0"
"10902210","29.015","41.2","0","0","0","0"
"10312236","29.145","40.905","5.8380094119","2.83017569441","0","0"
"10902231","29.12","41.2","0","0","0","0"
"11472047","28.2","41.485","0","0","0","0"
"10482308","29.505","40.99","0","0","0","0"
"11572048","28.205","41.535","0","0","0","0"
"11382081","28.37","41.44","0","0","0","0"
"10762207","29","41.13","0","0","0","0"
"11492027","28.1","41.495","0","0","0","0"
"10642384","29.885","41.07","0","0","0","0"
"10852331","29.62","41.175","0","0","0","0"
"10462226","29.095","40.98","5.41214233758","1.91297529123","0","0.512316044721"
"10842105","28.49","41.17","0","0","0","0"
"10652058","28.255","41.075","15.6249163187","6.85905755076","1.06934402319","1.95245718387"
"10912138","28.655","41.205","0","0","0","0"
"10512219","29.06","41.005","4.67345263237","2.04147981682","0","0"
"11182109","28.51","41.34","0","0","0","0"
"10842296","29.445","41.17","0","0","0","0"
"10502288","29.405","41","0","0","0","0"
"10642064","28.285","41.07","2.06142384955","1.14808023647","0","0.416315222549"
"10882069","28.31","41.19","0","0","0","0"
"10872132","28.625","41.185","0","0","0","0"
"10792264","29.285","41.145","0","0","0","0"
"10712358","29.755","41.105","0","0","0","0"
"10932169","28.81","41.215","0","0","0","0"
"11092024","28.085","41.295","0","0","0","0"
"10882269","29.31","41.19","0","0","0","0"
"10512149","28.71","41.005","18.8061854255","8.7006122665","0.807440733393","2.77740614757"
"11092066","28.295","41.295","0","0","0","0"
"11232073","28.33","41.365","0","0","0","0"
"10822053","28.23","41.16","0","0","0","0"
"10472333","29.63","40.985","0","0","0","0"
"11002083","28.38","41.25","0","0","0","0"
"11442067","28.3","41.47","0","0","0","0"
"10672020","28.065","41.085","0","0","0","0"
"10902133","28.63","41.2","0","0","0","0"
"11242078","28.355","41.37","0","0","0","0"
"11332070","28.315","41.415","0","0","0","0"
"10752160","28.765","41.125","0","0","0","0"
"10472159","28.76","40.985","0.637491763746","0","0","0"
"10912096","28.445","41.205","0","0","0","0"
"11032059","28.26","41.265","0","0","0","0"
"10772293","29.43","41.135","0","0","0","0"
"10992206","28.995","41.245","0","0","0","0"
"11352054","28.235","41.425","0","0","0","0"
"11312069","28.31","41.405","0","0","0","0"
"11032110","28.515","41.265","0","0","0","0"
"10642091","28.42","41.07","0","0","0","0"
"10492241","29.17","40.995","0","0","0","0"
"11302094","28.435","41.4","0","0","0","0"
"10962158","28.755","41.23","0","0","0","0"
"10872081","28.37","41.185","0","0","0","0"
"11142107","28.5","41.32","0","0","0","0"
"10582134","28.635","41.04","6.04482587092","2.77756458377","0","0.507370365753"
"10772123","28.58","41.135","0","0","0","0"
"10682059","28.26","41.09","0.75019628947","0","0","0"
"10572011","28.02","41.035","0","0","0","0"
"10822304","29.485","41.16","0","0","0","0"
"10992134","28.635","41.245","0","0","0","0"
"11072155","28.74","41.285","0","0","0","0"
"10982078","28.355","41.24","0","0","0","0"
"11162040","28.165","41.33","0","0","0","0"
"10892014","28.035","41.195","0","0","0","0"
"10842275","29.34","41.17","0","0","0","0"
"10662075","28.34","41.08","0","0","0","0"
"10712307","29.5","41.105","0","0","0","0"
